task_id,family,mean_entropy_top20_nl,mean_entropy_top20_python,mean_entropy_full_nl,mean_entropy_full_python,mean_p1_nl,mean_p1_python,mean_top20_mass_nl,mean_top20_mass_python,delta_mean_entropy_top20,delta_mean_entropy_full
invert_unique_map,dictionary_transform,0.47614486826092195,0.23244447983027464,0.49411972781472263,0.2373393943912199,0.8339844087329041,0.9105437328834056,0.997607301860567,0.9995629727987233,0.2437003884306473,0.2567803334235027
is_nondecreasing,monotonicity,0.46802991483768713,0.078239256192083,0.47522512893505414,0.07871680430510303,0.8269169037487344,0.9755347536669836,0.9994017158144265,0.9999634264795869,0.38979065864560414,0.3965083246299511
is_prime,primality,0.6052443085762514,0.04557922675208894,0.6325859636066342,0.04599843945010237,0.7759306747131247,0.9840027051034316,0.9969453463794061,0.9999703055892896,0.5596650818241625,0.5865875241565318
is_strictly_increasing,monotonicity,0.40983196489956625,0.0834234593923447,0.4156069484203446,0.08381698171351347,0.8547364454246079,0.9691879218607617,0.9995163178090194,0.9999687802373317,0.32640850550722156,0.33178996670683114
is_subset,set_relation,0.44466057152697896,0.2823339203756311,0.4495841628377571,0.30124676475654083,0.8369442523259835,0.9155529061189065,0.9995779357422357,0.9978660650742359,0.16232665115134787,0.14833739808121627
keep_letters,string_filter,0.40889319681158626,0.2452857753121461,0.4143163087329185,0.24908753403219852,0.8495701154639125,0.9110810448016439,0.9995045851551683,0.9996168606338047,0.16360742149944016,0.16522877470072
lcm_list,lcm_family,0.562613473411118,0.21295179486276886,0.5698272265258457,0.21678113678040603,0.8096569084352062,0.917712637920523,0.9993065678945152,0.9995916217280542,0.3496616785483492,0.3530460897454397
lcm_two,lcm_family,0.4969864424562425,0.1877365623172135,0.5126008552809557,0.19304057709769387,0.8114009928845224,0.9309419340403505,0.9977707195849645,0.9994702108146608,0.309249880139029,0.3195602781832618
least_frequent,mode_selection,0.8896380083546752,0.23675256383891088,0.9773218721772233,0.24599392342380777,0.6928664572891735,0.9224614503284663,0.9870769727797736,0.9989492195414925,0.6528854445157644,0.7313279487534156
linear_first_index,linear_search,0.4883529042063808,0.16499415694974257,0.4950465944328903,0.1678904809951948,0.8315950583647749,0.9349012381500668,0.999376412556328,0.9996900366412268,0.3233587472566382,0.32715611343769546
linear_last_index,linear_search,0.5599800167069285,0.23719024524921817,0.5902721824092757,0.24941989866466052,0.7991791039069955,0.9255568146647534,0.9967599808476693,0.9986438719268896,0.3227897714577104,0.3408522837446152
list_divisors,divisors,0.6662646360347454,0.08002847764843167,0.689900711893864,0.0807572143863016,0.750946350252948,0.9776772281552991,0.9974575385736779,0.9999436752791078,0.5862361583863137,0.6091434975075625
list_palindrome,palindrome_test,0.7614392775817708,0.16316178829953995,0.7889775967282254,0.174169863752743,0.7502663969993592,0.946881933003922,0.9971478212447393,0.9984813920863264,0.5982774892822308,0.6148077329754824
main_diagonal_sum,diagonal_aggregate,0.7248551575705792,0.11258922356098561,0.7937899865090655,0.1142917428288084,0.7535685358139185,0.9642918093871046,0.9918792499945713,0.9998526759045099,0.6122659340095935,0.6794982436802571
matrix_column_sums,matrix_aggregate,0.5847447994735786,0.18862954332103463,0.5935737930932173,0.19898105704400285,0.7844533270188406,0.9351526789104964,0.9988506255196591,0.9985815652267921,0.39611525615254395,0.3945927360492145
matrix_contains,matrix_search,0.50361066303997,0.23718041577665158,0.5167433885585674,0.24679302587663585,0.8306936502381407,0.9194484282565374,0.9986285300304493,0.9987854835807636,0.26643024726331843,0.2699503626819315
matrix_find_position,matrix_search,0.5397727673293399,0.20681656266225765,0.5511609743621273,0.21641464963198018,0.8160964258407292,0.9251913865830036,0.9988425442001275,0.9989547530810038,0.3329562046670822,0.3347463247301471
matrix_row_sums,matrix_aggregate,0.5054593569292766,0.1452741263585006,0.5131404691918476,0.14848512879602727,0.8132189295508644,0.9468444761830527,0.9992499152819315,0.9996669133098527,0.360185230570776,0.36465534039582037
